
fruit = apple
layer = 5_point
test accuracy = tensor(89.5000, device='cuda:1')
test accuracy = tensor(90.1667, device='cuda:1')
test accuracy = tensor(88.8333, device='cuda:1')
test accuracy = tensor(88.5000, device='cuda:1')
test accuracy = tensor(89.3333, device='cuda:1')
test accuracy = tensor(88.6667, device='cuda:1')
test accuracy = tensor(89.5000, device='cuda:1')
test accuracy = tensor(89., device='cuda:1')
test accuracy = tensor(88.8333, device='cuda:1')
test accuracy = tensor(88.8333, device='cuda:1')
test accuracy = tensor(88.6667, device='cuda:1')
test accuracy = tensor(89., device='cuda:1')
test accuracy = tensor(87.6667, device='cuda:1')
fruit = muskmelon
layer = 6_point
test accuracy = tensor(83.3333, device='cuda:1')
test accuracy = tensor(67.5000, device='cuda:1')
test accuracy = tensor(92.8333, device='cuda:1')
test accuracy = tensor(92.8333, device='cuda:1')
test accuracy = tensor(80., device='cuda:1')
test accuracy = tensor(93.5000, device='cuda:1')
test accuracy = tensor(85.8333, device='cuda:1')
test accuracy = tensor(88.5000, device='cuda:1')
test accuracy = tensor(93., device='cuda:1')
test accuracy = tensor(83.6667, device='cuda:1')
test accuracy = tensor(94.3333, device='cuda:1')
test accuracy = tensor(93.3333, device='cuda:1')
test accuracy = tensor(89., device='cuda:1')
test accuracy = tensor(95.5000, device='cuda:1')
test accuracy = tensor(91.8333, device='cuda:1')
test accuracy = tensor(91.6667, device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(94.1667, device='cuda:1')
test accuracy = tensor(95.6667, device='cuda:1')
test accuracy = tensor(94.1667, device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(94.6667, device='cuda:1')
test accuracy = tensor(95.8333, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(94.6667, device='cuda:1')
test accuracy = tensor(93.8333, device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(95.3333, device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(95.5000, device='cuda:1')
test accuracy = tensor(95.3333, device='cuda:1')
test accuracy = tensor(95.6667, device='cuda:1')
test accuracy = tensor(97.1667, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(95.6667, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(95.3333, device='cuda:1')
test accuracy = tensor(95.5000, device='cuda:1')
test accuracy = tensor(95.1667, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(95.8333, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(95.1667, device='cuda:1')
test accuracy = tensor(95.1667, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(95.1667, device='cuda:1')
test accuracy = tensor(96., device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(95.3333, device='cuda:1')
test accuracy = tensor(95.8333, device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
fruit = peach
layer = 6_point
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(99.8333, device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(99.3333, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(99.1667, device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(99.8333, device='cuda:1')
test accuracy = tensor(99.8333, device='cuda:1')
test accuracy = tensor(99.8333, device='cuda:1')
test accuracy = tensor(99.8333, device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(99.8333, device='cuda:1')
test accuracy = tensor(100., device='cuda:1')
test accuracy = tensor(99.6667, device='cuda:1')
test accuracy = tensor(99.8333, device='cuda:1')
test accuracy = tensor(99.8333, device='cuda:1')
test accuracy = tensor(99.8333, device='cuda:1')
test accuracy = tensor(99.8333, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.8333, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
test accuracy = tensor(99.5000, device='cuda:1')
fruit = pear
layer = 6_point
test accuracy = tensor(95.8333, device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(95.8333, device='cuda:1')
test accuracy = tensor(95.5000, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(95.1667, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(97.1667, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(97.1667, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.1667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.1667, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.1667, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.8333, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.1667, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.1667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.1667, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.1667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(97.8333, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
fruit = tomato
layer = 6_point
test accuracy = tensor(96., device='cuda:1')
test accuracy = tensor(86., device='cuda:1')
test accuracy = tensor(68.3333, device='cuda:1')
test accuracy = tensor(98.3333, device='cuda:1')
test accuracy = tensor(93.5000, device='cuda:1')
test accuracy = tensor(92.6667, device='cuda:1')
test accuracy = tensor(90.3333, device='cuda:1')
test accuracy = tensor(91.8333, device='cuda:1')
test accuracy = tensor(94.3333, device='cuda:1')
test accuracy = tensor(90.6667, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(98.3333, device='cuda:1')
test accuracy = tensor(98.3333, device='cuda:1')
test accuracy = tensor(94.8333, device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(95.5000, device='cuda:1')
test accuracy = tensor(92.3333, device='cuda:1')
test accuracy = tensor(94.5000, device='cuda:1')
test accuracy = tensor(93.5000, device='cuda:1')
test accuracy = tensor(94.1667, device='cuda:1')
test accuracy = tensor(94.3333, device='cuda:1')
test accuracy = tensor(95.3333, device='cuda:1')
test accuracy = tensor(94.1667, device='cuda:1')
test accuracy = tensor(95.3333, device='cuda:1')
test accuracy = tensor(94., device='cuda:1')
test accuracy = tensor(95.1667, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(95.5000, device='cuda:1')
test accuracy = tensor(95.8333, device='cuda:1')
test accuracy = tensor(95.8333, device='cuda:1')
test accuracy = tensor(94.8333, device='cuda:1')
test accuracy = tensor(95.8333, device='cuda:1')
test accuracy = tensor(93.5000, device='cuda:1')
test accuracy = tensor(93.6667, device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(95.1667, device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(94.5000, device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(94.5000, device='cuda:1')
test accuracy = tensor(94.5000, device='cuda:1')
test accuracy = tensor(94., device='cuda:1')
test accuracy = tensor(94.5000, device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(93.5000, device='cuda:1')
test accuracy = tensor(95.5000, device='cuda:1')
test accuracy = tensor(94.5000, device='cuda:1')
test accuracy = tensor(93., device='cuda:1')
test accuracy = tensor(93.1667, device='cuda:1')
test accuracy = tensor(94.6667, device='cuda:1')
test accuracy = tensor(95.3333, device='cuda:1')
test accuracy = tensor(93., device='cuda:1')
test accuracy = tensor(94.6667, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(93.1667, device='cuda:1')
test accuracy = tensor(93., device='cuda:1')
test accuracy = tensor(93., device='cuda:1')
test accuracy = tensor(93.1667, device='cuda:1')
test accuracy = tensor(93.1667, device='cuda:1')
test accuracy = tensor(92.8333, device='cuda:1')
test accuracy = tensor(93., device='cuda:1')
test accuracy = tensor(94.3333, device='cuda:1')
test accuracy = tensor(95.6667, device='cuda:1')
test accuracy = tensor(92.6667, device='cuda:1')
test accuracy = tensor(93.6667, device='cuda:1')
test accuracy = tensor(94.5000, device='cuda:1')
test accuracy = tensor(94.1667, device='cuda:1')
test accuracy = tensor(93., device='cuda:1')
test accuracy = tensor(95.5000, device='cuda:1')
test accuracy = tensor(94.8333, device='cuda:1')
test accuracy = tensor(94.6667, device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(95.1667, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(93.3333, device='cuda:1')
test accuracy = tensor(95.5000, device='cuda:1')
test accuracy = tensor(94.8333, device='cuda:1')
test accuracy = tensor(94.8333, device='cuda:1')
test accuracy = tensor(93.1667, device='cuda:1')
test accuracy = tensor(93.6667, device='cuda:1')
test accuracy = tensor(94.8333, device='cuda:1')
test accuracy = tensor(95.6667, device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(95.1667, device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(95.1667, device='cuda:1')
test accuracy = tensor(96., device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(95.1667, device='cuda:1')
test accuracy = tensor(93., device='cuda:1')
test accuracy = tensor(92.8333, device='cuda:1')
test accuracy = tensor(94.3333, device='cuda:1')
test accuracy = tensor(93.6667, device='cuda:1')
test accuracy = tensor(94.3333, device='cuda:1')
test accuracy = tensor(95.5000, device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(95., device='cuda:1')
test accuracy = tensor(93.5000, device='cuda:1')
test accuracy = tensor(94.6667, device='cuda:1')
test accuracy = tensor(95.3333, device='cuda:1')
fruit = apple
layer = 7_point
test accuracy = tensor(60.1667, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(95.5000, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(97.1667, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(97.1667, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(98.3333, device='cuda:1')
test accuracy = tensor(95.8333, device='cuda:1')
test accuracy = tensor(97.8333, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(98.3333, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(95.8333, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
fruit = banana
layer = 7_point
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(99.1667, device='cuda:1')
test accuracy = tensor(99.3333, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(99.1667, device='cuda:1')
test accuracy = tensor(98.6667, device='cuda:1')
test accuracy = tensor(98.5000, device='cuda:1')
test accuracy = tensor(98.6667, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(97.8333, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(98.6667, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(98.8333, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(98.6667, device='cuda:1')
test accuracy = tensor(98.8333, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.5000, device='cuda:1')
test accuracy = tensor(99., device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(98.8333, device='cuda:1')
test accuracy = tensor(98.5000, device='cuda:1')
test accuracy = tensor(98.5000, device='cuda:1')
test accuracy = tensor(98.3333, device='cuda:1')
test accuracy = tensor(98.3333, device='cuda:1')
test accuracy = tensor(98.5000, device='cuda:1')
test accuracy = tensor(98.3333, device='cuda:1')
test accuracy = tensor(98.3333, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.3333, device='cuda:1')
test accuracy = tensor(98.5000, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.5000, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.5000, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.5000, device='cuda:1')
test accuracy = tensor(98.5000, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.3333, device='cuda:1')
test accuracy = tensor(98.3333, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.5000, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.5000, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.5000, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.5000, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.3333, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98.3333, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
